feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_trend_start_score_roll_min_5,0.0057575597407618,0.001001008251693,0.0065770317112449,0.0046418727748197,3.0,3.0,5.746020285794319,0.5,2.138410123924316,trend_start,30.0,swing,98.0,False,False,False,False,True
planet_reversal_Pluto,0.0064076014668831,0.001166047747005,0.0080242563247327,0.00550428879538,4.0,4.0,5.49043643100877,0.6666666666666666,2.0908824581064893,pluto,60.0,macro,99.0,False,True,False,False,True
astro_momentum_v2_smooth_roll_max_30,0.0057503740346514,0.0010155343393416,0.0064684652525277,0.0050322828167751,2.0,2.0,5.656841891219761,0.3333333333333333,2.06552814487411,other,90.0,macro,100.0,False,False,False,False,True
astro_trend_start_score_sma_21,0.0048097965185434,0.000850040303977,0.0054108657817675,0.0042087272553194,2.0,2.0,5.651667137345266,0.3333333333333333,2.063340750011593,trend_start,30.0,swing,101.0,False,False,False,False,True
astro_trend_start_score_sma_3,0.0055839356687535,0.0010362500935627,0.006316675136917,0.0048511962005901,2.0,2.0,5.383403388833221,0.3333333333333333,1.969758093692462,trend_start,14.0,swing,102.0,False,False,False,False,True
astro_compression_score_ema_60,0.0057042364600556,0.0010742971280893,0.0064638792443368,0.0049445936757744,2.0,2.0,5.304800237113353,0.3333333333333333,1.942295110907029,compression,90.0,macro,103.0,False,False,False,False,True
astro_trend_start_score_ema_3,0.0049266571681114,0.0009884723836855,0.006257053172333,0.0038857035741828,4.0,4.0,4.979074958879351,0.6666666666666666,1.911313565141684,trend_start,14.0,swing,104.0,False,False,False,False,True
astro_trend_start_score_ema_30,0.0056271659962703,0.0011435060368625,0.0072879555129895,0.0046765051144146,4.0,4.0,4.916676553053628,0.6666666666666666,1.8897543266339445,trend_start,30.0,swing,105.0,False,False,False,False,True
astro_trend_end_score_roll_max_30,0.0059358329804844,0.0011800358552411,0.0067702443357687,0.0051014216252002,2.0,2.0,5.025954931125003,0.3333333333333333,1.844791892419278,trend_end,90.0,macro,106.0,False,False,False,False,True
astro_bullish_score_roll_min_21,0.0058282600113988,0.0012525376385879,0.0067139378693357,0.0049425821534619,2.0,2.0,4.649449551402554,0.3333333333333333,1.7129719803287868,bullish,90.0,macro,107.0,False,False,False,True,True
astro_bullish_score_smooth_roll_min_30,0.0086382208069838,0.0018646716281539,0.0099567427599377,0.00731969885403,2.0,2.0,4.630086386386767,0.3333333333333333,1.7073188568914954,bullish,90.0,macro,108.0,False,True,False,True,True
astro_bullish_score_smooth_roll_max_5,0.0048380354272345,0.0010518696035685,0.0055818195568418,0.0040942512976272,2.0,2.0,4.5950945975046205,0.3333333333333333,1.693551656630844,bullish,3.0,timing,109.0,False,False,False,False,True
sun_target_strength,0.0063961523946332,0.001468988050209,0.0077336367568164,0.0047799257858416,4.0,4.0,4.351159449033247,0.6666666666666666,1.6921309347861564,sun,60.0,macro,110.0,False,True,False,True,True
astro_bullish_score_sma_5,0.005436432945982,0.0011881192848066,0.0062765601491273,0.0045963057428367,2.0,2.0,4.571814632428502,0.3333333333333333,1.6856430278617018,bullish,7.0,timing,111.0,False,False,False,False,True
astro_trend_start_score_ema_10,0.005309914450906,0.0012038542785727,0.0066467407674172,0.0043114457311909,3.0,3.0,4.40710096261254,0.5,1.6696093026947512,trend_start,14.0,swing,112.0,False,False,False,True,True
astro_trend_start_score_sma_5,0.0051848754938343,0.0012003307309614,0.0064950054366165,0.0041380663285365,3.0,3.0,4.315943445219991,0.5,1.6376541560245306,trend_start,14.0,swing,113.0,False,False,False,True,True
astro_reversal_score_sma_60,0.0069317784965025,0.0016147429695877,0.0085488640074158,0.0053193883079911,3.0,3.0,4.29014925453846,0.5,1.6293249504870622,reversal,90.0,macro,114.0,False,True,False,True,True
astro_bullish_score_smooth_sma_60,0.0065427736215637,0.0015343009020581,0.0079847587415021,0.0049303841559102,3.0,3.0,4.26155785669956,0.5,1.6191623592934714,bullish,60.0,macro,115.0,False,True,False,True,True
astro_bearish_score_sma_60,0.0059302500302042,0.0014518657892968,0.0079355340039571,0.0045082326338471,4.0,4.0,4.081760389632493,0.6666666666666666,1.597654903050121,bearish,90.0,macro,116.0,False,False,False,True,True
astro_trend_start_score_roll_max_10,0.0061696288900665,0.001552237465536,0.0079617748271602,0.0052490435872195,3.0,3.0,3.9721092408348166,0.5,1.5177060858482123,trend_start,14.0,swing,117.0,False,True,False,True,True
btc_vol_30d,0.0066195238273789,0.0018920144183097,0.0087022279842234,0.0041767909364137,6.0,6.0,3.496816380981115,1.0,1.4765335428743416,other,60.0,macro,119.0,False,True,True,True,True
