variant_key,constructive_drift,high_conviction_expansion,recovery_reversal_setup,transition_low_conviction,volatility_caution,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio,return_capture_ratio_vs_buy_hold,drawdown_improvement_points,overfit_risk,rank_sharpe,rank_sortino,rank_return_drawdown,rank_total_return
GRID_026,70.0,90.0,100.0,30.0,10.0,6.302519006346132,0.30836439292426365,-0.36681029953393773,1.1883323227648335,1.6147009561162866,0.25308488024502324,0.5014814814814815,0.3844444444444444,74.05000000000001,441,17.181957579582672,0.33120934136189534,0.3995353375517531,Low,21.0,14.0,46.0,89.0
GRID_062,70.0,100.0,100.0,30.0,10.0,6.302519006346132,0.30836439292426365,-0.36681029953393773,1.1883323227648335,1.6147009561162866,0.25308488024502324,0.5014814814814815,0.3844444444444444,74.05000000000001,441,17.181957579582672,0.33120934136189534,0.3995353375517531,Low,21.0,14.0,46.0,89.0
GRID_149,90.0,90.0,75.0,50.0,0.0,10.492573288889973,0.3910819217352912,-0.48992772947797947,1.183268733648721,1.4885559997513766,0.3228761595597525,0.4111111111111111,0.45149999999999996,88.75000000000001,384,21.416573624174866,0.5514046502208684,0.27641790760771134,Low,22.0,50.0,7.0,1.0
GRID_185,90.0,100.0,75.0,50.0,0.0,10.492573288889973,0.3910819217352912,-0.48992772947797947,1.183268733648721,1.4885559997513766,0.3228761595597525,0.4111111111111111,0.45149999999999996,88.75000000000001,384,21.416573624174866,0.5514046502208684,0.27641790760771134,Low,22.0,50.0,7.0,1.0
GRID_161,90.0,90.0,85.0,50.0,0.0,10.490386905660689,0.39104614287178663,-0.4899277294779798,1.1807627681692814,1.4868469736793712,0.32378455509591764,0.4111111111111111,0.4538333333333333,88.75000000000001,384,21.4121109593822,0.5512897516305417,0.276417907607711,Low,23.0,51.0,8.0,2.0
GRID_197,90.0,100.0,85.0,50.0,0.0,10.490386905660689,0.39104614287178663,-0.4899277294779798,1.1807627681692814,1.4868469736793712,0.32378455509591764,0.4111111111111111,0.4538333333333333,88.75000000000001,384,21.4121109593822,0.5512897516305417,0.276417907607711,Low,23.0,51.0,8.0,2.0
GRID_075,80.0,90.0,75.0,30.0,20.0,7.413771390318946,0.3336597370941392,-0.42948146711958257,1.1783893540871158,1.6281481582573403,0.2767895091944378,0.5103703703703704,0.42785185185185187,77.25,441,17.262145070056526,0.3896077642483424,0.33686416996610824,Low,24.0,12.0,44.0,57.0
GRID_111,80.0,100.0,75.0,30.0,20.0,7.413771390318946,0.3336597370941392,-0.42948146711958257,1.1783893540871158,1.6281481582573403,0.2767895091944378,0.5103703703703704,0.42785185185185187,77.25,441,17.262145070056526,0.3896077642483424,0.33686416996610824,Low,24.0,12.0,44.0,57.0
GRID_087,80.0,90.0,85.0,30.0,20.0,7.41217072803032,0.33362543513898535,-0.4294814671195838,1.174845217893178,1.624104190498166,0.2778487660365893,0.5103703703703704,0.43018518518518517,77.65,440,17.258418105306724,0.38952364640564735,0.336864169966107,Low,25.0,13.0,45.0,58.0
GRID_123,80.0,100.0,85.0,30.0,20.0,7.41217072803032,0.33362543513898535,-0.4294814671195838,1.174845217893178,1.624104190498166,0.2778487660365893,0.5103703703703704,0.43018518518518517,77.65,440,17.258418105306724,0.38952364640564735,0.336864169966107,Low,25.0,13.0,45.0,58.0
GRID_173,90.0,90.0,100.0,50.0,0.0,10.410034763723749,0.3897271258230375,-0.48992772947797947,1.173986713271624,1.4793467709677626,0.3252397731321402,0.4111111111111111,0.45698148148148143,89.45,382,21.248102806541883,0.5470670939945784,0.27641790760771134,Low,26.0,55.0,9.0,5.0
GRID_209,90.0,100.0,100.0,50.0,0.0,10.410034763723749,0.3897271258230375,-0.48992772947797947,1.173986713271624,1.4793467709677626,0.3252397731321402,0.4111111111111111,0.45698148148148143,89.45,382,21.248102806541883,0.5470670939945784,0.27641790760771134,Low,26.0,55.0,9.0,5.0
GRID_099,80.0,90.0,100.0,30.0,20.0,7.353344516007491,0.3323608655238013,-0.4294814671195821,1.1659879837561726,1.6117635947595257,0.2795429484141774,0.5103703703703704,0.43333333333333335,78.95,439,17.121447789876513,0.3864322172613198,0.3368641699661087,Low,27.0,15.0,48.0,62.0
GRID_135,80.0,100.0,100.0,30.0,20.0,7.353344516007491,0.3323608655238013,-0.4294814671195821,1.1659879837561726,1.6117635947595257,0.2795429484141774,0.5103703703703704,0.43333333333333335,78.95,439,17.121447789876513,0.3864322172613198,0.3368641699661087,Low,27.0,15.0,48.0,62.0
GRID_003,70.0,90.0,75.0,30.0,20.0,5.975983692415491,0.30029819559810367,-0.38871900152966476,1.1579113189554617,1.6086632384161206,0.25478792200394096,0.5103703703703704,0.4028333333333334,67.05000000000001,442,15.37353118550712,0.31404929057117703,0.37762663555602605,Low,28.0,16.0,68.0,93.0
GRID_039,70.0,100.0,75.0,30.0,20.0,5.975983692415491,0.30029819559810367,-0.38871900152966476,1.1579113189554617,1.6086632384161206,0.25478792200394096,0.5103703703703704,0.4028333333333334,67.05000000000001,442,15.37353118550712,0.31404929057117703,0.37762663555602605,Low,28.0,16.0,68.0,93.0
GRID_150,90.0,90.0,75.0,50.0,10.0,9.871387765391692,0.38067155608276293,-0.49443234718372364,1.15730547679179,1.5551858514178127,0.3239145403426874,0.5014814814814815,0.4686851851851851,89.45,442,19.965092942682475,0.5187601714189412,0.27191328990196717,Low,29.0,30.0,19.0,10.0
GRID_186,90.0,100.0,75.0,50.0,10.0,9.871387765391692,0.38067155608276293,-0.49443234718372364,1.15730547679179,1.5551858514178127,0.3239145403426874,0.5014814814814815,0.4686851851851851,89.45,442,19.965092942682475,0.5187601714189412,0.27191328990196717,Low,29.0,30.0,19.0,10.0
GRID_162,90.0,90.0,85.0,50.0,10.0,9.869319558446891,0.3806360449756323,-0.49443234718372353,1.154890398824144,1.5530459890188753,0.3248200479031718,0.5014814814814815,0.4710185185185185,89.45,442,19.960909949889672,0.5186514832167639,0.2719132899019673,Low,30.0,32.0,20.0,11.0
GRID_198,90.0,100.0,85.0,50.0,10.0,9.869319558446891,0.3806360449756323,-0.49443234718372353,1.154890398824144,1.5530459890188753,0.3248200479031718,0.5014814814814815,0.4710185185185185,89.45,442,19.960909949889672,0.5186514832167639,0.2719132899019673,Low,30.0,32.0,20.0,11.0
GRID_077,80.0,90.0,75.0,50.0,0.0,8.419456245926025,0.3541721026197586,-0.4606371661800138,1.153801406487736,1.449566468774213,0.30228705671277106,0.4111111111111111,0.4269259259259259,78.25,392,18.277848302487513,0.4424584130615957,0.305708470905677,Low,31.0,65.0,31.0,37.0
GRID_113,80.0,100.0,75.0,50.0,0.0,8.419456245926025,0.3541721026197586,-0.4606371661800138,1.153801406487736,1.449566468774213,0.30228705671277106,0.4111111111111111,0.4269259259259259,78.25,392,18.277848302487513,0.4424584130615957,0.305708470905677,Low,31.0,65.0,31.0,37.0
GRID_015,70.0,90.0,85.0,30.0,20.0,5.974656559373153,0.30026475170746747,-0.38871900152966554,1.153736092964731,1.6035326135988732,0.25593834130697973,0.5103703703703704,0.4051666666666666,68.05000000000001,443,15.370117066214963,0.31397954720976706,0.37762663555602527,Low,32.0,17.0,69.0,94.0
GRID_051,70.0,100.0,85.0,30.0,20.0,5.974656559373153,0.30026475170746747,-0.38871900152966554,1.153736092964731,1.6035326135988732,0.25593834130697973,0.5103703703703704,0.4051666666666666,68.05000000000001,443,15.370117066214963,0.31397954720976706,0.37762663555602527,Low,32.0,17.0,69.0,94.0
GRID_148,90.0,90.0,75.0,30.0,30.0,8.541965321346028,0.3565397430909094,-0.47645988898461833,1.1521640887016595,1.5894101116389778,0.3049433830674019,0.5103703703703704,0.4703148148148148,81.15,367,17.927984115409537,0.44889649760205597,0.2898857481010725,Low,33.0,19.0,37.0,30.0
GRID_184,90.0,100.0,75.0,30.0,30.0,8.541965321346028,0.3565397430909094,-0.47645988898461833,1.1521640887016595,1.5894101116389778,0.3049433830674019,0.5103703703703704,0.4703148148148148,81.15,367,17.927984115409537,0.44889649760205597,0.2898857481010725,Low,33.0,19.0,37.0,30.0
GRID_089,80.0,90.0,85.0,50.0,0.0,8.417664258992598,0.3541372730830763,-0.46063716618001305,1.1509791060141137,1.4474148229039645,0.3032572116142631,0.4111111111111111,0.4292592592592593,78.65,391,18.27395806725471,0.44236424074551833,0.30570847090567776,Low,34.0,67.0,32.0,38.0
