indicator,span,long_threshold,short_threshold,mode,total_return,buy_hold_return,max_drawdown,buy_hold_max_drawdown,sharpe_like,return_drawdown_ratio,number_of_trades,balanced_score
astro_trend_start_score,3,0.5,-0.5,long_short_balanced_v2,281.2360598552621,169.68246816461956,-0.8339900882218972,-0.8339900882218972,1.0926250810067477,337.21750872947365,32,150.9363846025432
astro_trend_start_score,3,0.5,-1.0,long_short_balanced_v2,281.2360598552621,169.68246816461956,-0.8339900882218972,-0.8339900882218972,1.0926250810067477,337.21750872947365,32,150.9363846025432
astro_trend_start_score,3,0.5,-1.5,long_short_balanced_v2,281.2360598552621,169.68246816461956,-0.8339900882218972,-0.8339900882218972,1.0926250810067477,337.21750872947365,32,150.9363846025432
astro_trend_start_score,14,0.5,-0.5,long_short_balanced_v2,268.7471261225242,169.68246816461956,-0.8339900882218969,-0.8339900882218972,1.0811010044917366,322.2425900714297,24,144.20611112050705
astro_trend_start_score,14,0.5,-1.0,long_short_balanced_v2,268.7471261225242,169.68246816461956,-0.8339900882218969,-0.8339900882218972,1.0811010044917366,322.2425900714297,24,144.20611112050705
astro_trend_start_score,14,0.5,-1.5,long_short_balanced_v2,268.7471261225242,169.68246816461956,-0.8339900882218969,-0.8339900882218972,1.0811010044917366,322.2425900714297,24,144.20611112050705
astro_bullish_score,30,0.5,-0.5,long_short_balanced_v2,262.69734979078044,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.0626029098277516,314.98857540484977,19,140.94297604980233
astro_bullish_score,30,0.5,-1.0,long_short_balanced_v2,262.69734979078044,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.0626029098277516,314.98857540484977,19,140.94297604980233
astro_bullish_score,30,0.5,-1.5,long_short_balanced_v2,262.69734979078044,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.0626029098277516,314.98857540484977,19,140.94297604980233
astro_volatility_score,30,0.5,-0.5,long_short_balanced_v2,227.6193504240553,169.68246816461956,-0.8339900882218975,-0.8339900882218972,1.0547682189659093,272.92812425307056,28,121.98635213308424
astro_volatility_score,30,0.5,-1.0,long_short_balanced_v2,227.6193504240553,169.68246816461956,-0.8339900882218975,-0.8339900882218972,1.0547682189659093,272.92812425307056,28,121.98635213308424
astro_volatility_score,30,0.5,-1.5,long_short_balanced_v2,227.6193504240553,169.68246816461956,-0.8339900882218975,-0.8339900882218972,1.0547682189659093,272.92812425307056,28,121.98635213308424
astro_reversal_score,21,0.5,-0.5,long_short_balanced_v2,217.37401762264884,169.68246816461956,-0.8339900882218971,-0.8339900882218972,1.0560381629789546,260.6434065494707,23,116.46631672954751
astro_reversal_score,21,0.5,-1.0,long_short_balanced_v2,217.37401762264884,169.68246816461956,-0.8339900882218971,-0.8339900882218972,1.0560381629789546,260.6434065494707,23,116.46631672954751
astro_reversal_score,21,0.5,-1.5,long_short_balanced_v2,217.37401762264884,169.68246816461956,-0.8339900882218971,-0.8339900882218972,1.0560381629789546,260.6434065494707,23,116.46631672954751
astro_trend_start_score,5,0.5,-0.5,long_short_balanced_v2,196.67673076595898,169.68246816461956,-0.8339900882218971,-0.8339900882218972,1.042861937052684,235.8262208910447,30,105.27442305048486
astro_trend_start_score,5,0.5,-1.0,long_short_balanced_v2,196.67673076595898,169.68246816461956,-0.8339900882218971,-0.8339900882218972,1.042861937052684,235.8262208910447,30,105.27442305048486
astro_trend_start_score,5,0.5,-1.5,long_short_balanced_v2,196.67673076595898,169.68246816461956,-0.8339900882218971,-0.8339900882218972,1.042861937052684,235.8262208910447,30,105.27442305048486
astro_trend_start_score,10,0.5,-0.5,long_short_balanced_v2,186.79261660755148,169.68246816461956,-0.8339900882218975,-0.8339900882218972,1.0334705332768193,223.9746242138217,28,99.93911290600767
astro_trend_start_score,10,0.5,-1.0,long_short_balanced_v2,186.79261660755148,169.68246816461956,-0.8339900882218975,-0.8339900882218972,1.0334705332768193,223.9746242138217,28,99.93911290600767
astro_trend_start_score,10,0.5,-1.5,long_short_balanced_v2,186.79261660755148,169.68246816461956,-0.8339900882218975,-0.8339900882218972,1.0334705332768193,223.9746242138217,28,99.93911290600767
