indicator,span,long_threshold,short_threshold,mode,total_return,buy_hold_return,cagr,buy_hold_cagr,max_drawdown,buy_hold_max_drawdown,sharpe_like,return_drawdown_ratio,number_of_trades,balanced_score
expansion_score,21,1.0,-1.5,long_short_balanced,56.90695678558824,167.6571261119022,0.41798933932708615,0.554608728723476,-0.8339900882218974,-0.8339900882218972,0.8899332430063598,68.23457207616977,31,13.64587458305846
expansion_score,21,1.0,-2.0,long_short_balanced,56.90695678558824,167.6571261119022,0.41798933932708615,0.554608728723476,-0.8339900882218974,-0.8339900882218972,0.8899332430063598,68.23457207616977,31,13.64587458305846
expansion_score,30,1.5,-0.5,long_short_balanced,53.16403105725726,167.6571261119022,0.40985997051180556,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.9060474939538284,63.746598200711524,33,12.738078195809985
expansion_score,30,1.5,-1.0,long_short_balanced,53.16403105725726,167.6571261119022,0.40985997051180556,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.9060474939538284,63.746598200711524,33,12.738078195809985
expansion_score,30,1.5,-1.5,long_short_balanced,53.16403105725726,167.6571261119022,0.40985997051180556,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.9060474939538284,63.746598200711524,33,12.738078195809985
expansion_score,30,1.5,-2.0,long_short_balanced,53.16403105725726,167.6571261119022,0.40985997051180556,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.9060474939538284,63.746598200711524,33,12.738078195809985
expansion_score,30,1.5,-2.5,long_short_balanced,53.16403105725726,167.6571261119022,0.40985997051180556,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.9060474939538284,63.746598200711524,33,12.738078195809985
contraction_score,14,0.5,-0.5,long_short_balanced,50.245993033864096,167.6571261119022,0.4031578247760599,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.8749260751090555,60.24771006690343,22,12.020335568154488
contraction_score,14,0.5,-1.0,long_short_balanced,50.245993033864096,167.6571261119022,0.4031578247760599,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.8749260751090555,60.24771006690343,22,12.020335568154488
contraction_score,14,0.5,-1.5,long_short_balanced,50.245993033864096,167.6571261119022,0.4031578247760599,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.8749260751090555,60.24771006690343,22,12.020335568154488
contraction_score,3,1.5,-0.5,long_short_balanced,23.978244729393463,167.6571261119022,0.3190226795511122,0.554608728723476,-0.4177655202297592,-0.8339900882218972,0.9535701143915518,57.39641872839603,37,11.930465881632566
contraction_score,3,1.5,-1.0,long_short_balanced,23.978244729393463,167.6571261119022,0.3190226795511122,0.554608728723476,-0.4177655202297592,-0.8339900882218972,0.9535701143915518,57.39641872839603,37,11.930465881632566
contraction_score,3,1.5,-1.5,long_short_balanced,23.978244729393463,167.6571261119022,0.3190226795511122,0.554608728723476,-0.4177655202297592,-0.8339900882218972,0.9535701143915518,57.39641872839603,37,11.930465881632566
contraction_score,3,1.5,-2.0,long_short_balanced,23.978244729393463,167.6571261119022,0.3190226795511122,0.554608728723476,-0.4177655202297592,-0.8339900882218972,0.9535701143915518,57.39641872839603,37,11.930465881632566
contraction_score,3,1.5,-2.5,long_short_balanced,23.978244729393463,167.6571261119022,0.3190226795511122,0.554608728723476,-0.4177655202297592,-0.8339900882218972,0.9535701143915518,57.39641872839603,37,11.930465881632566
contraction_score,5,0.5,-0.5,long_short_balanced,47.817861844334594,167.6571261119022,0.39730948954796896,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.8685574104935352,57.33624718044829,22,11.423161988099517
contraction_score,5,0.5,-1.0,long_short_balanced,47.817861844334594,167.6571261119022,0.39730948954796896,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.8685574104935352,57.33624718044829,22,11.423161988099517
contraction_score,5,0.5,-1.5,long_short_balanced,47.817861844334594,167.6571261119022,0.39730948954796896,0.554608728723476,-0.8339900882218976,-0.8339900882218972,0.8685574104935352,57.33624718044829,22,11.423161988099517
trigger_score,3,0.5,-0.5,long_short_balanced,34.09507537901216,167.6571261119022,0.3581872674047706,0.554608728723476,-0.6591182122686112,-0.8339900882218972,1.0115370573562361,51.72831632380589,534,10.045129009845919
trigger_score,3,0.5,-1.0,long_short_balanced,34.09507537901216,167.6571261119022,0.3581872674047706,0.554608728723476,-0.6591182122686112,-0.8339900882218972,1.0115370573562361,51.72831632380589,534,10.045129009845919
trigger_score,3,0.5,-1.5,long_short_balanced,34.09507537901216,167.6571261119022,0.3581872674047706,0.554608728723476,-0.6591182122686112,-0.8339900882218972,1.0115370573562361,51.72831632380589,534,10.045129009845919
contraction_score,10,0.5,-0.5,long_short_balanced,41.58106257151994,167.6571261119022,0.3809718417361678,0.554608728723476,-0.8339900882218974,-0.8339900882218972,0.8482629423463427,49.85798171795128,22,9.884686365902917
contraction_score,10,0.5,-1.0,long_short_balanced,41.58106257151994,167.6571261119022,0.3809718417361678,0.554608728723476,-0.8339900882218974,-0.8339900882218972,0.8482629423463427,49.85798171795128,22,9.884686365902917
contraction_score,10,0.5,-1.5,long_short_balanced,41.58106257151994,167.6571261119022,0.3809718417361678,0.554608728723476,-0.8339900882218974,-0.8339900882218972,0.8482629423463427,49.85798171795128,22,9.884686365902917
contraction_score,5,1.5,-0.5,long_short_balanced,19.06607195039653,167.6571261119022,0.2944029285991412,0.554608728723476,-0.4345246325180673,-0.8339900882218972,0.9086274597771735,43.878000287138555,35,9.13193269573748
contraction_score,5,1.5,-1.0,long_short_balanced,19.06607195039653,167.6571261119022,0.2944029285991412,0.554608728723476,-0.4345246325180673,-0.8339900882218972,0.9086274597771735,43.878000287138555,35,9.13193269573748
