taxonomy_v3,feature,feature_family,state_mean,overall_mean,differential,zscore_diff,abs_zscore_diff,direction
Tactical Neutral,square_strength,aspect,0.8223596999968203,1.3447652496630629,-0.5224055496662425,-0.26078965708341545,0.26078965708341545,negative
Tactical Neutral,raw_astro_directional_signal,core_astro,2.0650479825347876,1.5649786653902125,0.5000693171445751,0.25525171275825237,0.25525171275825237,positive
Tactical Neutral,astro_momentum_v2_smooth,core_astro,1.4247229535848338,1.1744483703498727,0.2502745832349611,0.24588016039933527,0.24588016039933527,positive
Tactical Neutral,jupiter_signal,planet,1.0217279376112052,0.7080578630765447,0.31367007453466045,0.2447222422417274,0.2447222422417274,positive
Tactical Neutral,astro_bearish_score_smooth,core_astro,0.40639462360729595,0.5213405314051648,-0.11494590779786884,-0.22493316075214845,0.22493316075214845,negative
Tactical Neutral,mars_signal,planet,0.03397217026260287,0.11197834341472744,-0.07800617315212457,-0.21703858976754295,0.21703858976754295,negative
Tactical Neutral,astro_bearish_score,core_astro,0.4117404691358024,0.5256251260273973,-0.11388465689159488,-0.2140678094891442,0.2140678094891442,negative
Tactical Neutral,bearish,raw_score,0.4117405015005049,0.5256251280078961,-0.11388462650739117,-0.2140677559789832,0.2140677559789832,negative
Tactical Neutral,astro_bullish_score,core_astro,1.8749321604938272,1.6944706684931508,0.1804614920006764,0.18945524668740557,0.18945524668740557,positive
Tactical Neutral,bullish,raw_score,1.8749321732331135,1.6944706819579358,0.18046149127517763,0.18945524508669523,0.18945524508669523,positive
Tactical Neutral,trine_strength,aspect,0.756341329186021,0.9097611497667029,-0.15341982058068182,-0.1794862782307618,0.1794862782307618,negative
Tactical Neutral,raw_astro_event_count,core_astro,4.419753086419753,4.663013698630137,-0.24326061221038398,-0.1541007580147843,0.1541007580147843,negative
Tactical Neutral,astro_bullish_score_smooth,core_astro,1.8311175793347994,1.6957888983958262,0.1353286809389731,0.14510302898351807,0.14510302898351807,positive
Tactical Neutral,astro_reversal_score,core_astro,1.3220165308641973,1.2146444575342465,0.1073720733299508,0.1286336405774272,0.1286336405774272,positive
Tactical Neutral,reversal,raw_score,1.3220165165806805,1.2146444706295407,0.1073720459511398,0.12863360471579532,0.12863360471579532,positive
Tactical Neutral,mc_target_strength,natal_target,0.8703354848068836,1.0266996518287785,-0.15636416702189493,-0.11858367192728995,0.11858367192728995,negative
