feature_set,horizon_days,min_hold_days,regime_filter_mode,trend_confirmation_mode,volatility_filter_mode,reversal_filter_mode,long_probability_threshold,short_probability_threshold,threshold_source,signal_quality_entry_threshold,total_return,max_drawdown,sharpe_like,return_drawdown_ratio,balanced_score,number_of_trades,long_signal_days,short_signal_days,flat_signal_days,avg_signal_quality_score,abs_avg_signal_quality_score,avg_ml_quality_component,avg_momentum_quality_component,avg_trend_quality_component,avg_regime_quality_component,avg_reversal_penalty_component,avg_volatility_penalty_component,avg_compression_penalty_component,prediction_start,prediction_end,overall_rank,rank_within_horizon
selected_features,7,3,none,soft,soft,soft,0.52,0.35,tuned,1.15,471.61204847549027,-0.5944679033148158,1.5259769390704248,793.3347550737924,299.5795726069367,181,1719,96,1695,1.4947829573225853,1.8604477485933963,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,51,26
selected_features,7,14,none,none,soft,soft,0.52,0.35,tuned,1.15,504.7276335922645,-0.6793455031439753,1.502109814695401,742.9616171100147,299.4351700558957,126,1875,120,1515,1.3644272643839588,1.7054467079800826,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,52,27
selected_features,7,7,none,soft,none,none,0.52,0.35,tuned,1.15,474.61943654085167,-0.6145253635018979,1.4496821694421647,772.3349835980949,296.22005973680183,186,1965,252,1293,1.7340950535676414,2.1620401103536597,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,53,28
selected_features,7,3,soft,none,none,soft,0.52,0.35,tuned,1.15,477.54680376497953,-0.627267831875044,1.5198534533750319,761.3124402338395,294.9003930950992,187,1724,115,1671,1.45583593108758,1.815322736410154,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,54,29
selected_features,90,14,strict,soft,none,soft,0.52,0.35,tuned,1.15,541.5851443001604,-0.8486437720720842,1.3670256318502116,638.1772448265348,289.2846465114125,122,2363,446,701,2.015475919519418,2.5330880925418287,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,55,26
selected_features,7,3,none,soft,none,soft,0.52,0.35,tuned,1.15,465.3277735568449,-0.6227826247727247,1.512925281794028,747.175266372692,288.4024309092539,191,1763,115,1632,1.6058232372133003,1.9568390301481968,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,56,30
selected_features,90,7,soft,strict,none,soft,0.52,0.35,tuned,1.15,537.7624178055403,-0.8723418809345704,1.373919006528402,616.4583285046645,283.71083534371166,150,2333,380,797,2.219085139302637,2.6879256763424206,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,57,27
selected_features,90,14,strict,soft,soft,none,0.52,0.35,tuned,1.15,528.844861095424,-0.8586639919730262,1.3603846292732293,615.8926728489588,280.9927975286983,121,2354,482,674,2.0305451423352916,2.588923801108779,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,58,28
selected_features,7,14,strict,none,soft,none,0.52,0.35,tuned,1.15,449.76044685021697,-0.6286405816997862,1.4077731831499127,715.4492725145204,277.41090844494687,157,1981,298,1231,1.5048118566440982,1.9158833409922533,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,59,31
selected_features,90,14,soft,none,none,none,0.52,0.35,tuned,1.15,514.1999374587342,-0.8619441407225278,1.3543200766029042,596.5583071632742,272.73022452118295,119,2301,577,632,1.8944154905759003,2.5873894767136063,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,60,29
selected_features,7,7,strict,none,soft,soft,0.52,0.35,tuned,1.15,415.0089498654123,-0.5706701977755085,1.4659074176481726,727.2308094642598,269.42857670143314,160,1790,152,1568,1.4245251978091,1.779768948794428,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,61,32
selected_features,90,14,none,none,none,soft,0.52,0.35,tuned,1.15,506.56164127860364,-0.8616277180168472,1.3613898216163112,587.9124251533177,268.70242920428933,124,2265,502,743,1.7811034385972195,2.339892233441929,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,62,30
selected_features,90,14,strict,strict,soft,soft,0.52,0.35,tuned,1.15,494.44416028135004,-0.8625918283815064,1.3675278328983196,573.2075635461129,262.1151557496651,130,2355,386,769,2.121621289318566,2.571720349849467,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,63,31
selected_features,7,7,soft,none,soft,none,0.52,0.35,tuned,1.15,404.9568744213827,-0.5774568520366824,1.4447699507309182,701.2764209015883,261.18419492444247,171,1830,171,1509,1.471510831552307,1.859116135624853,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,64,33
selected_features,90,7,soft,strict,soft,soft,0.52,0.35,tuned,1.15,493.34832762951106,-0.8732528265982386,1.3677813836310397,564.9547446085601,260.0866046615884,148,2297,327,886,2.0927306866872057,2.5299161010342535,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,65,32
selected_features,90,14,none,none,soft,soft,0.52,0.35,tuned,1.15,480.37626965818566,-0.8289736156207911,1.3596134058700262,579.4831833078881,259.2091652315618,120,2256,437,817,1.7050162312963602,2.209798715014264,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,66,33
