date,price,btc_return_1d,ml_prob_up_7d,ml_prob_up_14d,ml_prob_up_30d,ml_prob_up_60d,ml_position_raw_7d,ml_position_raw_14d,ml_position_raw_30d,ml_position_raw_60d,actual_direction_7d,actual_direction_14d,actual_direction_30d,actual_direction_60d,weighting_method,weighting_label,ensemble_probability,ensemble_vote_score,ensemble_actual_vote,ensemble_signal,ensemble_actual_signal,ensemble_confidence,ensemble_position,ensemble_strategy_return,buy_hold_return,ensemble_strategy_equity,buy_hold_equity,ensemble_strategy_drawdown
2021-04-14,63109.6953125,-0.006200634377373,0.481589001293135,0.3722870340861985,0.5618199934413162,0.5479639885894283,0,0,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.4816177875950803,0.08051935889440033,-0.9999999999999999,0,-1,0.05864189185211988,0.0,-0.0,-0.006200634377373,154.8830838958742,102.94866850343625,-0.08461808167587503
2021-04-15,63314.01171875,0.0032374804732979,0.4613704336785295,0.3624751959633948,0.5669254516733472,0.5451221280739943,0,0,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.46631436060810677,0.08051935889440033,-0.9999999999999999,0,-1,0.07394531883909339,0.0,0.0,0.0032374804732979,154.8830838958742,103.28196280746815,-0.08461808167587503
2021-04-16,61572.7890625,-0.0275013793784661,0.5296235840831746,0.3935728321819693,0.5919079574423626,0.5380863744286829,1,0,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.5195492497151085,0.7876164571205306,-0.9999999999999999,1,-1,0.41335747827537384,0.0,-0.0,-0.0275013793784661,154.8830838958742,100.44156636534734,-0.08461808167587503
2021-04-17,60683.8203125,-0.0144376885233774,0.5933766509682736,0.4897313695261458,0.6164899999673964,0.4936152039728301,1,0,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.5735961971300498,0.7876164571205306,-0.9999999999999999,1,-1,0.46740442569031515,1.0,-0.0144376885233774,-0.0144376885233774,152.64693017304543,98.99142231536432,-0.09783408069257038
2021-04-18,56216.18359375,-0.0736215468265391,0.6745814963120278,0.5207259768049718,0.6141686553723933,0.4941066628105877,1,1,1,0,0,1,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.6344977457857448,0.9044691016116838,-0.7662947110176935,1,-1,0.5867322965915867,1.0,-0.0736215468265391,-0.0736215468265391,141.4088270553831,91.70352068194802,-0.16425293116617012
2021-04-19,55724.265625,-0.0087504689451151,0.7001937942834852,0.5555314436325779,0.6186566697149951,0.4924321790627898,1,1,1,0,0,1,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.6568766453026317,0.9044691016116838,-0.7662947110176935,1,-1,0.6091111961084736,1.0,-0.0087504689451151,-0.0087504689451151,140.17143350566982,90.90107187206291,-0.1715661099379715
2021-04-20,56473.03125,0.0134369760929442,0.7570404167165531,0.6226361853397447,0.6416879860863343,0.4842507516111536,1,1,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7059869813095494,0.9044691016116838,-0.9999999999999999,1,-1,0.6582215321153913,1.0,0.0134369760929442,0.0134369760929442,142.05491370659922,92.12250740163083,-0.16043446356262336
2021-04-21,53906.08984375,-0.0454542876384026,0.7474167636293888,0.6511620948322834,0.6636747240179177,0.5195377720170988,1,1,1,0,1,1,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7076568109012561,0.9044691016116838,0.6478994854345671,1,1,0.6598913617070981,1.0,-0.0454542876384026,-0.0454542876384026,135.597908798531,87.93514445222623,-0.19859631694713764
2021-04-22,51762.2734375,-0.0397694659817468,0.760513149768085,0.6528874173821337,0.6502655107245491,0.4799431124218827,1,1,1,0,1,1,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7122566213795565,0.9044691016116838,0.6478994854345671,1,1,0.6644911721853983,1.0,-0.0397694659817468,-0.0397694659817468,130.2052523773718,84.43801071633342,-0.23046771345795514
2021-04-23,51093.65234375,-0.0129171508387729,0.7575912742771498,0.6614507733219233,0.6479957481233971,0.4811397116342872,1,1,1,0,1,1,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7111227748541061,0.9044691016116838,0.6478994854345671,1,1,0.6633573256599481,1.0,-0.0129171508387729,-0.0129171508387729,128.5233714924128,83.34731219538462,-0.2404078780785246
2021-04-24,50050.8671875,-0.0204092897731074,0.7601373751717323,0.6649138902871642,0.64757565349196,0.4844404879124556,1,1,1,0,1,1,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7136092901568609,0.9044691016116838,0.6478994854345671,1,1,0.6658438409627028,1.0,-0.0204092897731074,-0.0204092897731074,125.9003007610074,81.64625274897936,-0.25591061380418956
2021-04-25,49004.25390625,-0.0209109919580251,0.7313326154005868,0.6749828180938088,0.6642414170937686,0.5177835542272016,1,1,1,0,1,1,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.6989453186297522,0.9044691016116838,0.6478994854345671,1,1,0.6511798694355941,1.0,-0.0209109919580251,-0.0209109919580251,123.26760058428103,79.93894861434256,-0.27147026097498195
2021-04-26,54021.75390625,0.1023890703366074,0.7575990485755429,0.6736641489211183,0.6517143601832823,0.4814911006422547,1,1,1,0,1,1,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7128884260415241,0.9044691016116838,0.6478994854345671,1,1,0.6651229768473661,1.0,0.1023890703366074,0.1023890703366074,135.88885561072982,88.12382324665094,-0.19687677828363914
2021-04-27,55033.1171875,0.0187214077315063,0.7702948362099831,0.680138883023873,0.6465464201280986,0.4827539311243697,1,1,1,0,0,1,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7223266905502363,0.9044691016116838,-0.7662947110176935,1,-1,0.6745612413560782,1.0,0.0187214077315063,0.0187214077315063,138.4328862827861,89.77362527251069,-0.18184118099124613
2021-04-28,54824.703125,-0.0037870662821065,0.7721046490973001,0.6781782367297036,0.6485825297808576,0.4811511203188754,1,1,1,0,1,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7233881255744886,0.9044691016116838,0.41419419645226074,1,1,0.6756226763803306,1.0,-0.0037870662821065,-0.0037870662821065,137.90863176680986,89.4336466032187,-0.18493960266812226
2021-04-29,53555.109375,-0.0231573301383015,0.7812859131306459,0.7195046545407145,0.650444300071154,0.4788252667665356,1,1,1,0,1,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7346369896098868,0.9044691016116838,0.41419419645226074,1,1,0.6868715404157286,1.0,-0.0231573301383015,-0.0231573301383015,134.7150360520644,87.36260212335579,-0.20381422537179172
2021-04-30,57750.17578125,0.0783317680648467,0.7782394734846251,0.7139886722079647,0.6474300120147598,0.4737556985336978,1,1,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7311112949041684,0.9044691016116838,-0.9999999999999999,1,-1,0.6833458457100103,1.0,0.0783317680648467,0.0783317680648467,145.26750301094216,94.20586921042398,-0.14144758593708462
2021-05-01,57828.05078125,0.0013484807439372,0.7792486136547084,0.7122174826365605,0.6466174397030114,0.4746211596953005,1,1,1,0,1,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7316351372855149,0.9044691016116838,0.41419419645226074,1,1,0.6838696880913568,1.0,0.0013484807439372,0.0013484807439372,145.46339344147228,94.3329040110201,-0.1402898445390599
2021-05-02,56631.078125,-0.0206988241878991,0.7720254008506527,0.7056275955980027,0.6327794557047232,0.4650622048948292,1,1,1,0,1,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7237301776048684,0.9044691016116838,0.41419419645226074,1,1,0.6759647284107102,1.0,-0.0206988241878991,-0.0206988241878991,142.45247223485205,92.38032381576204,-0.15808483389949723
2021-05-03,57200.29296875,0.0100512803675323,0.7786727119572963,0.7211519311239656,0.6534221541217603,0.4718698004320119,1,1,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7325570042194807,0.9044691016116838,-0.9999999999999999,1,-1,0.6847915550253225,1.0,0.0100512803675323,0.0100512803675323,143.88430197233268,93.30886435087768,-0.14962250851934344
2021-05-04,53333.5390625,-0.0676002465295502,0.789673873722694,0.725403453659262,0.6480752764756165,0.4732122755372967,1,1,1,0,1,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7405304161249903,0.9044691016116838,0.41419419645226074,1,1,0.6927649669308322,1.0,-0.0676002465295502,-0.0676002465295502,134.15768768727074,87.001162117366,-0.20710823658661637
2021-05-05,57424.0078125,0.0766959932136981,0.789186329725738,0.7203606112297113,0.648040504116695,0.4683777084230864,1,1,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7391317553180531,0.9044691016116838,-0.9999999999999999,1,-1,0.691366306123895,1.0,0.0766959932136981,0.0766959932136981,144.44704479169908,93.67380265670334,-0.1462966152806664
2021-05-06,56396.515625,-0.0178930768965995,0.7899491482135497,0.7224043947456908,0.6426469235032065,0.4674732816859291,1,1,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7393892752139972,0.9044691016116838,-0.9999999999999999,1,-1,0.6916238260198391,1.0,-0.0178930768965995,-0.0178930768965995,141.86244271175465,91.99769010257006,-0.16157199559033675
2021-05-07,57356.40234375,0.0170203195731561,0.7877103388569482,0.7177757396997944,0.6440395414970552,0.4648259878737678,1,1,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7371245833837884,0.9044691016116838,-0.9999999999999999,1,-1,0.6893591341896304,1.0,0.0170203195731561,0.0170203195731561,144.27698682213727,93.56352018810799,-0.1473016830162006
2021-05-08,58803.77734375,0.0252347591699624,0.7755785109401869,0.7071166984321046,0.6338776458757932,0.4528307111966093,1,1,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7253365170298366,0.9044691016116838,-0.9999999999999999,1,-1,0.6775710678356786,1.0,0.0252347591699624,0.0252347591699624,147.91778183836175,95.92457308714881,-0.1257840463424822
2021-05-09,58232.31640625,-0.0097180991309351,0.774205958916062,0.7024063954147508,0.6456262796745829,0.4568079347671654,1,1,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7251415183146311,0.9044691016116838,-0.9999999999999999,1,-1,0.6773760691204731,1.0,-0.0097180991309351,-0.0097180991309351,146.48030217122852,94.99236857679527,-0.13427976364197092
2021-05-10,55859.796875,-0.0407423176282123,0.7740935109069674,0.70301980020873,0.6451210769184076,0.4570175817594266,1,1,1,0,0,0,0,0,balanced_score_weighted_voting,Balanced Score Weighted Voting,0.7251130337894952,0.9044691016116838,-0.9999999999999999,1,-1,0.6773475845953372,1.0,-0.0407423176282123,-0.0407423176282123,140.5123551738918,91.12215932398327,-0.16955121248884086
