date,price,astro_regime_v2,astro_momentum_v2_smooth,astro_trend_start_score,astro_trend_end_score,astro_reversal_score,astro_volatility_score,astro_compression_score,horizon,ml_prob_up,ml_pred_direction,ml_position_raw,actual_direction,walk_train_start,walk_train_end,long_probability_threshold,short_probability_threshold,threshold_source,ml_vote_component,momentum_vote_component,trend_vote_component,regime_vote_component,signal_vote_score,long_regime_allowed,short_regime_allowed,long_trend_confirmed,short_trend_confirmed,signal_position_raw,btc_return_1d,ml_position,ml_strategy_return,buy_hold_return,ml_strategy_equity,buy_hold_equity_ml_period,ml_strategy_drawdown,buy_hold_drawdown_ml_period,ensemble_probability,ensemble_signal,ensemble_confidence,ensemble_vote_score,ensemble_actual_signal,signal_direction,ensemble_signal_direction,regime_label_normalized,ml_probability_strength,ensemble_confidence_strength,momentum_alignment_strength,regime_strength,volatility_state,volatility_multiplier,hybrid_volatility_multiplier,signal_vote_strength,ensemble_alignment_strength,sizing_method,position_size,net_exposure_raw,net_exposure,strategy_return,strategy_equity,strategy_drawdown
2022-02-26,39105.1484375,sideways,-0.8833713108144676,0.7959736568046221,1.3982401929227244,1.214953274315079,1.295419684409664,1.2503403831098627,7,0.5723711471824562,1,1,1,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,0,0,False,False,False,True,0,-0.0027813970538428,1.0,-0.0027813970538428,-0.0027813970538428,66.34250508445541,63.79087940981314,-0.4443331656781153,-0.4212374692925543,0.5777046864797039,1,0.5192783642341272,0.8831473555088467,1,1,1,sideways,0.10910655663011702,0.5192783642341272,0.27528516014076004,0.55,MidVol,0.75,0.85,0.0,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.0,-0.0,6.024236587502217,-0.3143903485139533
2022-02-27,37709.78515625,downtrend,-1.095814963755271,0.6976527255501429,1.440460506688653,1.4772329259290655,1.4706867377783888,1.29911371715427,7,0.5992116373391388,1,1,1,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,-1,-1,False,True,False,True,0,-0.0356823420189836,1.0,-0.0356823420189836,-0.0356823420189836,63.975249127635706,61.514671433020446,-0.4641606597089948,-0.44188907186103,0.6073640966283449,1,0.5489377743827683,0.8831473555088467,1,1,1,downtrend,0.16502424445653924,0.5489377743827683,0.23134006573273902,0.15,MidVol,0.75,0.85,0.25,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.25,-0.0089205855047459,5.970496869922584,-0.32050638803291365
2022-02-28,43193.234375,downtrend,-1.2671772236778978,0.244716946048392,1.482530028484789,1.2823851427647313,0.3854444799076,1.3476994819493824,7,0.6535307612725358,1,1,0,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,-1,-1,False,True,False,True,0,0.1454118392886461,1.0,0.1454118392886461,0.1454118392886461,73.27800777223456,70.45963294933269,-0.386243275674065,-0.3607331352732489,0.6588331061496023,1,0.6588331061496022,1.0,-1,1,1,downtrend,0.27818908598444964,0.6588331061496022,0.1996420099915518,0.15,LowVol,1.0,1.0,0.25,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.25,0.036352959822161524,6.187542102753221,-0.29580478405765875
2022-03-01,44354.63671875,downtrend,-1.4110518029361625,0.2415439175309517,1.524441214635607,1.315914091685385,0.3854444799076,1.3960890882198993,7,0.6686726481644022,1,1,0,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,-1,-1,False,True,False,True,0,0.026888524570001,1.0,0.026888524570001,0.026888524570001,75.24834528465901,72.35418852108407,-0.3697402629120238,-0.3435441924742561,0.6730175159752989,1,0.6730175159752989,1.0,-1,1,1,downtrend,0.3097346836758379,0.6730175159752989,0.1756377268465496,0.15,LowVol,1.0,1.0,0.25,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.25,0.00672213114250025,6.22913557221767,-0.29107109146617305
2022-03-02,43924.1171875,downtrend,-1.5364957046020675,0.238361415461784,1.566186486220866,1.4973106956480504,0.6814452532965158,1.6416077618066538,7,0.6423312079893234,1,1,0,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,-1,-1,False,True,False,True,0,-0.0097063027250092,1.0,-0.0097063027250092,-0.0097063027250092,74.51796206577008,71.65189686387603,-0.3758577547155844,-0.3499159512676915,0.6523134865522928,1,0.6523134865522928,1.0,-1,1,1,downtrend,0.2548566833110904,0.6523134865522928,0.1566135328757024,0.15,LowVol,1.0,1.0,0.25,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.25,-0.0024265756812523,6.214020103322903,-0.292791361115358
2022-03-03,42451.7890625,downtrend,-1.6101236759929174,0.2351702348470509,1.5486315971494489,1.5966936304170514,0.9082989453487844,1.7698629812536255,7,0.5931234870837776,1,1,0,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,-1,-1,False,True,False,True,0,-0.0335198114219356,1.0,-0.0335198114219356,-0.0335198114219356,72.02013402977852,69.25013879297492,-0.3967788850779815,-0.3717066459896069,0.6167274223680588,1,0.6167274223680588,1.0,-1,1,1,downtrend,0.15234059809120332,0.6167274223680588,0.14624969906970514,0.15,LowVol,1.0,1.0,0.25,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.25,-0.0083799528554839,6.161946907814028,-0.2987177361682022
2022-03-04,39137.60546875,downtrend,-1.6333212277426736,0.2319711750005743,1.5072407055060515,1.3021536843817412,0.3854444799076,1.369704831746206,7,0.5762074080372576,1,1,0,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,-1,-1,False,True,False,True,0,-0.0780693503604916,1.0,-0.0780693503604916,-0.0780693503604916,66.39756895319817,63.84382544503349,-0.4438719656436749,-0.4207570999730127,0.601409700665044,1,0.5429833784194673,0.8831473555088467,-1,1,1,downtrend,0.11709876674428656,0.5429833784194673,0.14310429798064256,0.15,LowVol,1.0,1.0,0.25,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.25,-0.0195173375901229,6.041682109801807,-0.3124048988573731
2022-03-05,39400.5859375,downtrend,-1.6230277670560076,0.2287650324827162,1.4660380487120108,1.314597595135712,0.476256552286007,1.3788793396682475,7,0.5359601195959576,1,1,0,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,-1,-1,False,True,False,True,0,0.0067193806468304,1.0,0.0067193806468304,0.0067193806468304,66.84371949301888,64.27281641014847,-0.4401351296924612,-0.4168649464407574,0.5715463643896733,1,0.5131200421440967,0.8831473555088467,-1,1,1,downtrend,0.03325024915824491,0.5131200421440967,0.1444929970980508,0.15,LowVol,1.0,1.0,0.25,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.25,0.0016798451617076,6.051831200262533,-0.3112498455535049
2022-03-06,38419.984375,sideways,-1.4673239217198564,0.3425405663596678,1.4573558237235114,1.5862976806877174,1.1606667746756734,1.603724594301042,7,0.6265435863786436,1,1,0,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,0,0,False,False,False,True,0,-0.0248879944083952,1.0,-0.0248879944083952,-0.0248879944083952,65.18011337604028,62.67319491472088,-0.4540690434541322,-0.4313780083930791,0.6373669489031504,1,0.6373669489031504,1.0,-1,1,1,sideways,0.22196580495550747,0.6373669489031504,0.16688763055044326,0.55,LowVol,1.0,1.0,0.0,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.25,-0.0062219986020988,6.0141767149943615,-0.3155352480516662
2022-03-07,38062.0390625,sideways,-1.199006802686905,0.6049328358741857,1.4204978061218494,1.2574712959198795,1.0954369455970818,1.1577753402840862,7,0.5671379635579745,1,1,1,2019-12-10,2021-12-08,0.52,0.35,tuned,2,-1,-1,0,0,False,False,False,True,0,-0.0093166438852826,1.0,-0.0093166438852826,-0.0093166438852826,64.57285347131337,62.08929107654751,-0.4591552877622218,-0.436675656994221,0.587589323206007,1,0.5291630009604303,0.8831473555088467,1,1,1,sideways,0.09820409074578022,0.5291630009604303,0.21184593764582993,0.55,LowVol,1.0,1.0,0.0,1.0,Volatility-Adjusted Sizing,0.25,0.25,0.25,-0.00232916097132065,6.000168729315171,-0.31712947663814894
