feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_momentum_v2_smooth_sma_60,0.0047004694018327,0.0001006157598172,0.0047716154878937,0.0046293233157717,2.0,2.0,46.25728735667714,0.3333333333333333,16.275264095931064,other,90.0,macro,61.0,False,False,False,False,True
astro_bearish_score_smooth_sma_30,0.0049965944920211,0.0001232625783411,0.0050837542970327,0.0049094346870096,2.0,2.0,40.2099695557934,0.3333333333333333,14.15882131565783,bearish,30.0,swing,62.0,False,False,False,False,True
astro_bearish_score_smooth_chg_30,0.0047223879540339,0.0001242617064872,0.004839153726293,0.0045917881203042,3.0,3.0,37.70017259435379,0.5,13.321949363205436,bearish,14.0,swing,63.0,False,False,False,False,True
astro_bullish_score_roll_min_21,0.0050128333890098,0.0001321532627638,0.0051062798572661,0.0049193869207536,2.0,2.0,37.64709391988377,0.3333333333333333,13.261821338648256,bullish,60.0,macro,64.0,False,False,False,False,True
astro_volatility_score_sma_21,0.0062197602222293,0.0002166552314118,0.0063729586055402,0.0060665618389185,2.0,2.0,28.576203667995586,0.3333333333333333,10.08749252122068,volatility,7.0,timing,65.0,False,True,False,False,True
btc_vol_14d,0.0047535171867213,0.0002168057377608,0.0048841838292116,0.0045032530694165,3.0,3.0,21.824572830766048,0.5,7.765501897642805,other,3.0,timing,66.0,False,False,False,False,True
astro_momentum_v2_smooth_chg_30,0.0049701810891346,0.0003298005955295,0.0053510015276143,0.0047792435760719,3.0,3.0,15.024704176174527,0.5,5.385634534096739,other,14.0,swing,67.0,False,False,False,False,True
astro_trend_start_score_sma_60,0.0053426826621038,0.0003577334920512,0.0055956384401908,0.0050897268840168,2.0,2.0,14.893180537880085,0.3333333333333333,5.298083594656204,trend_start,60.0,macro,68.0,False,False,False,False,True
astro_trend_start_score_roll_min_10,0.0046324459958877,0.0003146213821939,0.0048549169087433,0.0044099750830321,2.0,2.0,14.677224856209534,0.3333333333333333,5.222215011405025,trend_start,7.0,timing,69.0,False,False,False,False,True
astro_bullish_score_sma_10,0.0040671201846721,0.0002865366279658,0.0042697321773651,0.0038645081919791,2.0,2.0,14.144702932089512,0.3333333333333333,5.035606207638531,bullish,3.0,timing,70.0,False,False,False,False,True
astro_trend_start_score_ema_60,0.0050110095791442,0.00037124195566,0.0055305353780071,0.004650007577152,4.0,4.0,13.46170011990906,0.6666666666666666,4.880266112466495,trend_start,90.0,macro,71.0,False,False,False,False,True
planet_volatility_Pluto,0.0056780264896692,0.0004164292986023,0.0059724864705957,0.0053835665087428,2.0,2.0,13.602366936583422,0.3333333333333333,4.846432971733398,pluto,90.0,macro,72.0,False,False,False,False,True
house_activation_strength,0.0057297219198101,0.0004390281761967,0.0060401617203308,0.0054192821192894,2.0,2.0,13.021261432240369,0.3333333333333333,4.643066723385385,house_position,90.0,macro,73.0,False,False,False,False,True
astro_trend_start_score_roll_max_30,0.0068038280070613,0.000531908523975,0.0074081553370428,0.0061262380477139,4.0,4.0,12.767346929094805,0.6666666666666666,4.637959623052672,trend_start,30.0,swing,74.0,False,True,False,False,True
astro_trend_start_score_ema_5,0.0049627306263547,0.0003958512486961,0.0054163818953274,0.0046874425763911,3.0,3.0,12.505266501390867,0.5,4.503828367737346,trend_start,14.0,swing,75.0,False,False,False,False,True
astro_volatility_score_roll_max_30,0.0048107889792528,0.0004021754355563,0.0052749855927537,0.004567019812394,3.0,3.0,11.932247242728357,0.5,4.303210850546625,volatility,14.0,swing,76.0,False,False,False,False,True
astro_bullish_score_smooth_roll_max_3,0.0040546156925648,0.0003429012255015,0.0042970834743942,0.0038121479107355,2.0,2.0,11.790058865452146,0.3333333333333333,4.21147578251861,bullish,3.0,timing,77.0,False,False,False,False,True
astro_trend_start_score_sma_10,0.0050303751411607,0.0004514605034962,0.0053171522696244,0.0045099776311999,3.0,3.0,11.117821560755011,0.5,4.0182496963207175,trend_start,14.0,swing,78.0,False,False,False,False,True
pluto_signal,0.0051617546652186,0.0004858176214015,0.0055052795997316,0.0048182297307057,2.0,2.0,10.603056336288748,0.3333333333333333,3.7964677529004818,pluto,60.0,macro,79.0,False,False,False,False,True
astro_bullish_score_roll_max_5,0.0055548287032882,0.000561504138448,0.0059518720872492,0.0051577853193273,2.0,2.0,9.87517837400042,0.3333333333333333,3.5418676957147954,bullish,7.0,timing,80.0,False,False,False,False,True
astro_trend_start_score_roll_max_5,0.0056876718946289,0.0006249247926115,0.0063621838922087,0.0051283659684325,3.0,3.0,9.08682953889489,0.5,3.3076654073710627,trend_start,14.0,swing,81.0,False,False,False,False,True
astro_trend_end_score_ema_60,0.0055802716804227,0.0006371728163824,0.0062407173136895,0.0049692502312057,3.0,3.0,8.74413879308654,0.5,3.1876806862524583,trend_end,60.0,macro,82.0,False,False,False,False,True
astro_trend_start_score_ema_21,0.0052333728835224,0.0005945128047273,0.0056537569192474,0.0048129888477975,2.0,2.0,8.788010672446278,0.3333333333333333,3.16123041784294,trend_start,14.0,swing,83.0,False,False,False,False,True
astro_trend_start_score_ema_30,0.0059546609206181,0.0007046727267372,0.0065277708261763,0.0050183830055854,4.0,4.0,8.438275556078114,0.6666666666666666,3.122444975662254,trend_start,30.0,swing,84.0,False,False,False,False,True
astro_bullish_score_smooth_chg_21,0.0042680783487589,0.0005519396262051,0.0046583586012542,0.0038777980962637,2.0,2.0,7.718886740042041,0.3333333333333333,2.786650923687552,bullish,14.0,swing,85.0,False,False,False,False,True
astro_bearish_score_smooth_roll_min_30,0.0067741245860169,0.0009149226642727,0.0078849451240984,0.0060027917856851,4.0,4.0,7.39595694074852,0.6666666666666666,2.757961245763055,bearish,30.0,swing,86.0,False,True,False,False,True
astro_trend_start_score_ema_3,0.0047899284976931,0.0006574516253031,0.0056240444421269,0.0040577008745825,4.0,4.0,7.274533638652199,0.6666666666666666,2.7146694115940133,trend_start,14.0,swing,87.0,False,False,False,False,True
btc_return_7d,0.0074096763501815,0.0010104436568658,0.0081241679119583,0.0066951847884048,2.0,2.0,7.32584192889409,0.3333333333333333,2.6503418789863376,other,3.0,timing,88.0,False,True,False,False,True
astro_trend_start_score_roll_min_5,0.0052442978440751,0.0007556106056021,0.0059003922401403,0.0044181517654101,3.0,3.0,6.931303639210462,0.5,2.553053992861292,trend_start,14.0,swing,89.0,False,False,False,False,True
astro_bullish_score_roll_max_10,0.0049378434295689,0.0007466767857863,0.005465823648153,0.0044098632109848,2.0,2.0,6.604248685313509,0.3333333333333333,2.396795510564889,bullish,7.0,timing,90.0,False,False,False,False,True
astro_trend_end_score_sma_60,0.0071640162959471,0.0011261278498011,0.008445004609154,0.0061085464227342,4.0,4.0,6.35599262072249,0.6666666666666666,2.394129690437917,trend_end,60.0,macro,91.0,False,True,False,False,True
astro_bullish_score_smooth_roll_min_30,0.0081833031754188,0.0012654192443498,0.0090780897041426,0.0072885166466951,2.0,2.0,6.461764705431207,0.3333333333333333,2.3482243015044237,bullish,90.0,macro,92.0,False,True,False,True,True
astro_trend_start_score,0.004894114052238,0.0008067121901628,0.0056649680146758,0.0038761344668589,4.0,4.0,6.059230146385993,0.6666666666666666,2.2893548635226595,trend_start,14.0,swing,93.0,False,False,False,False,True
astro_trend_start_score_roll_min_21,0.0058223487219515,0.0009406728299556,0.0064875048588911,0.005157192585012,2.0,2.0,6.182984723288694,0.3333333333333333,2.2497069259731566,trend_start,60.0,macro,94.0,False,False,False,False,True
astro_bullish_score_smooth_roll_min_10,0.0043616438383981,0.0007080408921502,0.0048623043545949,0.0038609833222013,2.0,2.0,6.151470086825362,0.3333333333333333,2.238092521257569,bullish,90.0,macro,95.0,False,False,False,False,True
astro_trend_start_score_sma_21,0.0043155295275793,0.0007054556609945,0.004814362009295,0.0038166970458637,2.0,2.0,6.108705423216849,0.3333333333333333,2.2231064432702623,trend_start,30.0,swing,96.0,False,False,False,False,True
astro_bullish_score_roll_min_30,0.0075741018706891,0.0012631670316745,0.0084672958445575,0.0066809078968208,2.0,2.0,5.991377469048805,0.3333333333333333,2.1833450882486907,bullish,90.0,macro,97.0,False,True,False,False,True
astro_reversal_score_roll_max_30,0.0059085819440501,0.0010454087762956,0.0066477975788807,0.0051693663092196,2.0,2.0,5.646533245800139,0.3333333333333333,2.061983402141002,reversal,90.0,macro,98.0,False,False,False,False,True
astro_trend_start_score_roll_min_3,0.0050213710181289,0.0009307651565148,0.0062925400115138,0.0040692530989529,4.0,4.0,5.38909507725164,0.6666666666666666,2.054858492111992,trend_start,30.0,swing,99.0,False,False,False,False,True
astro_bullish_score_smooth_sma_60,0.0062261162658677,0.0011560615450863,0.0069538014051029,0.0048930812232967,3.0,3.0,5.3809724230384655,0.5,2.01083079456981,bullish,60.0,macro,100.0,False,True,False,False,True
astro_trend_start_score_sma_3,0.0048746225909615,0.0009678615132346,0.0058719062236966,0.0039391456504226,3.0,3.0,5.031289327085917,0.5,1.8879011135164556,trend_start,14.0,swing,101.0,False,False,False,False,True
trend_start,0.0050494709632588,0.0010245919156262,0.0060644578584128,0.0040155368299764,3.0,3.0,4.92346993606647,0.5,1.850234266008568,trend_start,14.0,swing,102.0,False,False,False,False,True
