variant_key,variant_label,year,strategy,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio
D_Drawdown_Guard_v2,Drawdown Guard v2,2022,Buy & Hold,-0.6426524216644376,-0.6426524216644376,-0.6689381539248924,-1.2982244976361634,-1.6748235424353288,0.6345372157572284,0.4657534246575342,1.0,0.0,0,-0.9607052877665486
D_Drawdown_Guard_v2,Drawdown Guard v2,2023,Allocation Strategy,0.6371309521553126,0.6371309521553126,-0.11164611308998784,2.375773029183022,2.935281492013207,0.21734179634897505,0.1643835616438356,0.21273972602739727,5.8500000000000005,24,5.70670070387295
D_Drawdown_Guard_v2,Drawdown Guard v2,2023,Buy & Hold,1.554174194122552,1.554174194122552,-0.2005777334291322,2.3637427790985868,3.984779385226617,0.4370562773431199,0.4986301369863014,1.0,0.0,0,7.748488167415005
D_Drawdown_Guard_v2,Drawdown Guard v2,2024,Allocation Strategy,0.0866641743130585,0.0864174386701273,-0.23238667645561029,0.4361648069219387,0.5367659025249774,0.27942093872094587,0.4426229508196721,0.44289617486338806,13.9,46,0.3729309082382475
D_Drawdown_Guard_v2,Drawdown Guard v2,2024,Buy & Hold,1.21054746592571,1.2057616836679736,-0.26182033008476613,1.745606375102204,2.905598250410992,0.5347703246111739,0.5218579234972678,1.0,0.0,0,4.623580856130565
D_Drawdown_Guard_v2,Drawdown Guard v2,2025,Allocation Strategy,0.29104696032536737,0.29104696032536737,-0.1537454842533965,1.15203167202412,1.8568080669628588,0.2482673357418562,0.4986301369863014,0.546027397260274,13.299999999999999,43,1.8930439598842241
D_Drawdown_Guard_v2,Drawdown Guard v2,2025,Buy & Hold,-0.06336749968935496,-0.06336749968935496,-0.3214698048461443,0.05276454068227213,0.07734213273556449,0.41863119762474554,0.4986301369863014,1.0,0.0,0,-0.19711804572028993
D_Drawdown_Guard_v2,Drawdown Guard v2,2026,Allocation Strategy,-0.05577650272893775,-0.13626654015679152,-0.24911573109071017,-0.23412640641113108,-0.32359438532282014,0.3551751698566573,0.48951048951048953,0.7486013986013987,6.95,35,-0.22389795491729877
D_Drawdown_Guard_v2,Drawdown Guard v2,2026,Buy & Hold,-0.12030446928122318,-0.27903972824518386,-0.35311531742601765,-0.38043148271428834,-0.5165109858268457,0.5122147247675745,0.48951048951048953,1.0,0.0,0,-0.3406945644787232
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2019,Allocation Strategy,0.4077058209210158,0.4077058209210158,-0.09622957616130479,2.182539095905679,3.18151170049502,0.16275219209051056,0.4821917808219178,0.2126027397260274,8.8,59,4.236803664578124
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2019,Buy & Hold,0.8716174456068169,0.8716174456068169,-0.4898281300068478,1.2593792205944576,1.8410862647454518,0.6792177791831441,0.5205479452054794,1.0,0.0,0,1.779435259454437
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2020,Allocation Strategy,1.5147483777760078,1.5084201991838238,-0.11999843085860329,2.9024225301727378,4.183594477013515,0.33648771217693246,0.5519125683060109,0.4677595628415301,14.750000000000004,71,12.623068209624074
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2020,Buy & Hold,3.031600901707659,3.0162729798514,-0.5186169126186413,2.3245873796607124,2.562460922756376,0.7194296929899909,0.5628415300546448,1.0,0.0,0,5.8455496300733065
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2021,Allocation Strategy,0.720336864784457,0.720336864784457,-0.29024194346747534,1.509840837815262,2.22780398347803,0.4169400729623904,0.5013698630136987,0.4689041095890411,9.950000000000001,64,2.4818496464663395
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2021,Buy & Hold,0.5966792379843284,0.5966792379843284,-0.5306185040984173,0.983864801419826,1.5210959895220248,0.8030283847010404,0.5123287671232877,1.0,0.0,0,1.1244976068035095
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2022,Allocation Strategy,-0.38992707513183344,-0.38992707513183344,-0.424615764176534,-1.4267842559034172,-1.6542048663889217,0.31175683592563347,0.4602739726027397,0.43452054794520556,11.900000000000002,73,-0.9183056966526595
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2022,Buy & Hold,-0.6426524216644376,-0.6426524216644376,-0.6689381539248924,-1.2982244976361634,-1.6748235424353288,0.6345372157572284,0.4657534246575342,1.0,0.0,0,-0.9607052877665486
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2023,Allocation Strategy,0.6341803408579862,0.6341803408579862,-0.13919248096731507,2.2313667024944395,3.6204440434470198,0.23209088306545356,0.4986301369863014,0.31493150684931503,6.8,48,4.556139357893214
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2023,Buy & Hold,1.554174194122552,1.554174194122552,-0.2005777334291322,2.3637427790985868,3.984779385226617,0.4370562773431199,0.4986301369863014,1.0,0.0,0,7.748488167415005
