regime,component_type,component_name,regime_row_count,mapped_feature_count,selected_feature_count,selected_support_ratio,stable_feature_share,feature_importance_raw,stability_score_raw,stability_support_raw,predictive_contribution_raw,predictive_consistency_raw,valid_predictive_horizon_count,mapped_features,selected_features,raw_bullish_total,raw_bearish_total,raw_reversal_total,raw_volatility_total,feature_importance_score,stability_score,predictive_contribution_score,predictive_consistency_score,coverage_score,regime_importance_score,confidence_score,bullish_contribution_score,bearish_contribution_score,reversal_contribution_score,volatility_contribution_score,rank,component_global_mean_score,relative_regime_strength,dynamic_weight_recommendation
Sideways,natal_target,Moon,2141,1,1,1.0,0.0,0.004012530070902874,0.0,0.0,0.0683318604231025,0.6895304557896758,6,moon_target_strength,moon_target_strength,6.115227333015407,42.86736753185975,45.76713622850103,48.187724878310426,0.0,0.0,1.0,0.8460485974743812,1.0,0.5499999999999999,78.46,0.0,0.0,0.0,0.0,3,0.3843306630278146,1.4310593790956398,increase in this regime
Sideways,natal_target,Asc,2141,1,1,1.0,0.0,0.013733635214574477,0.0,0.0,0.056867074519084654,0.4818093179180581,6,asc_target_strength,asc_target_strength,411.1730090352097,129.04655229205108,186.33039691372133,244.95035558849875,0.3780688019854918,0.0,0.4850312141147916,0.0,1.0,0.46427812543655,57.13,0.15087059892547383,0.07643173244435823,0.06349141261550895,0.140545238576951,4,0.46125817318563067,1.0065472059390566,keep near global
High Volatility,natal_target,Sun,1267,1,1,1.0,0.0,0.029725059358216684,1.7520347894714914,4.6421657845685855,0.06436596969527329,0.39731794159154277,6,sun_target_strength,sun_target_strength,798.8665454061141,370.38899159666505,732.1612879493578,453.9434838193281,1.0,0.0010493985356268309,0.3046114343720981,0.0,1.0,0.5568238817373596,52.64,0.5568238817373596,0.5568238817373596,0.5568238817373596,0.5568238817373596,1,0.6897928095274815,0.8072335258449453,keep near global
High Volatility,natal_target,MC,1267,1,1,1.0,1.0,0.02004803315585459,1669.5609246538152,4770.0495713352,0.036634962206746446,0.4892745620509471,6,mc_target_strength,mc_target_strength,796.8250399874199,32.1310784676774,309.83997658644,255.24027144030416,0.6236454961614142,1.0,0.0,1.0,1.0,0.5559113740403535,75.0,0.5544768629443805,0.0,0.21166454419266506,0.29807366590053413,2,0.5559113740403535,1.0,keep near global
High Volatility,natal_target,Moon,1267,1,1,1.0,0.0,0.004012530070902874,0.0,0.0,0.12767227847062654,0.4024130855814699,6,moon_target_strength,moon_target_strength,7.728654871126208,73.36867909710763,50.17034386380541,25.529127297221716,0.0,0.0,1.0,0.0554081257496456,1.0,0.5499999999999999,70.55,0.0,0.06705144053063976,0.0,0.0,3,0.3843306630278146,1.4310593790956398,increase in this regime
High Volatility,natal_target,Asc,1267,1,1,1.0,0.0,0.013733635214574477,0.0,0.0,0.0728830974677547,0.47687760480778985,6,asc_target_strength,asc_target_strength,256.424184328943,71.01982410528743,90.1761302408198,132.86770035412755,0.3780688019854918,0.0,0.3981678804759543,0.8651868981132241,1.0,0.4338759586629569,63.61,0.13638963896133843,0.04988173562190638,0.025451289444416974,0.10870696926370566,4,0.46125817318563067,0.9406358171746608,keep near global
Low Volatility,natal_target,Sun,1267,1,1,1.0,0.0,0.029725059358216684,1.7520347894714914,4.6421657845685855,0.22928307694106756,0.24228915666566586,6,sun_target_strength,sun_target_strength,580.3722318544663,192.444951704365,464.9008849817108,358.63307579661864,1.0,0.0010493985356268309,1.0,0.0,1.0,0.8002098797071253,70.02,0.6838444093941716,0.8002098797071253,0.8002098797071253,0.7435921723895124,1,0.6897928095274815,1.1600728054200524,keep near global
Low Volatility,natal_target,MC,1267,1,1,1.0,1.0,0.02004803315585459,1669.5609246538152,4770.0495713352,0.029591610959912248,0.616785267805002,6,mc_target_strength,mc_target_strength,678.4991574121252,20.147591671310597,282.3623878091663,383.4289611840734,0.6236454961614142,1.0,0.0,1.0,1.0,0.5559113740403535,75.0,0.5559113740403535,0.03306100720838286,0.3271909560984785,0.5559113740403535,2,0.5559113740403535,1.0,keep near global
Low Volatility,natal_target,Asc,1267,1,1,1.0,0.0,0.013733635214574477,0.0,0.0,0.08745607604571048,0.5646980552921196,6,asc_target_strength,asc_target_strength,268.267408842958,51.20598938476673,71.09545017084145,144.5018222619105,0.3780688019854918,0.0,0.2897693439300949,0.8609138761029679,1.0,0.3959364708719062,60.85,0.15523053294664302,0.09067410915104342,0.04449571967779793,0.1260011347169535,3,0.46125817318563067,0.8583836425865647,keep near global
Low Volatility,natal_target,Moon,1267,1,1,1.0,0.0,0.004012530070902874,0.0,0.0,0.037804899943889886,0.5217542547007978,6,moon_target_strength,moon_target_strength,3.7101922204197404,9.252841235247908,21.235961265812236,32.97477638605562,0.0,0.0,0.041129894778541606,0.746242990841508,1.0,0.2143954631724896,53.49,0.0,0.0,0.0,0.0,4,0.3843306630278146,0.5578411607428093,decrease in this regime
